Organisation,Website,Search Update,Search Update,Search Update,Search Update
Independent Electoral and Boundaries Commission,https://www.iebc.or.ke/work/?tenders,,,,
Nairobi City Water & Sewerage Company LTD,https://www.nairobiwater.co.ke/,,,,
Egerton University,https://www.egerton.ac.ke/,,,,
Bandari Maritime Academy ,https://bma.ac.ke/,,,,
Office of the Deputy President,https://www.deputypresident.go.ke/,,,,
 National Drought Management Authority ,http://www.ndma.go.ke/,,,,
Independent Policing Oversight Authority,http://www.ipoa.go.ke/tender-notices/,,,,
Egerton University,https://www.egerton.ac.ke/,,,,
Bandari Maritime Academy ,https://bma.ac.ke/,,,,
Office of the Deputy President,https://www.deputypresident.go.ke/,,,,
Nuclear Power and Energy Agency ,https://www.nuclear.co.ke/,,,,
Kenya Pipeline Company Staff Retirement Benefits Scheme,https://www.kpcrbs.com/,,,,
Commodities Fund,https://www.comfund.co.ke/,,,,
 Kenya Bureau Of Standards ,https://www.kebs.org/index.php?option=com_content&view=category&id=27&Itemid=160,,,,
Kenya Electricity Transmission Co. Ltd,https://www.ketraco.co.ke/,,,,
Kenya Universities and Colleges Central Placement Service,https://www.kuccps.net/index.php?q=content/bids-and-tenders,,,,
Sports Arts and Social Development Fund,http://sportsheritage.go.ke/,,,,
Unclaimed Financial Assets Authority,https://ufaa.go.ke/,,,,
Intergovernmental Relations Technical Committee,https://igrtc.go.ke/about/,,,,
Kenya National Highways Authority,https://kenha.co.ke/tenders-ppp/,,,,
KENYA NATIONAL LIBRARY SERVICE,https://knls.ac.ke/tenders/,,,,
Kenya National Shipping Line ,https://knsl.go.ke/,,,,
Policy Holders Compensation Fund,https://www.pcf.go.ke/,,,,
Technical and Vocational Education and Training Authority,https://www.tveta.go.ke/,,,,
Kenya institute for Public Policy research and Analysis ,https://kippra.or.ke/,,,,
National Lands Commission,https://www.landcommission.go.ke/articles?category_id=38&view_template=frontend,,,,
Council of Legal Education,https://cle.or.ke/,,,,
Pwani University,https://www.pu.ac.ke/,,,,
National Communications Secretariat,https://ncs.go.ke/,,,,
Kenya Animal Genetic Resources Centre,https://kagrc.go.ke/tenders/,,,,
National Aids Control Council,https://nacc.or.ke/,,,,
NCPD,https://ncpd.go.ke/tenders/,,,,
Moi Teaching and Referral Hospital,http://www.mtrh.go.ke/,,,,
Kenya National Examination Council,https://www.knec.ac.ke/,,,,
County Government of Nakuru,https://nakuru.go.ke/,,,,
Technical University of Mombasa,https://www.tum.ac.ke/,,,,
Kenya Railways,http://www.krc.co.ke/,,,,
Kenya Railways Staff Retirement Benefits Scheme,https://krsrbs.co.ke/,,,,
Trademark East Africa,https://www.trademarkea.com/,,,,
"KENYA INSTITUTE OF SUPPLIES 
EXAMINATION BOARD",https://kiseb.or.ke/,,,,
Dedan Kimathi University of Technology,https://www.dkut.ac.ke/,,,,
Chuka University,https://www.chuka.ac.ke/,,,,
Media Council of Kenya,https://www.mediacouncil.or.ke/,,,,
Salaries & Remuneration Commission,https://src.go.ke/,,,,
Tana and Athi River Development Authority (TARDA) in Kenya,www.tarda.co.ke,,,,
The Commission on Adminstrative Justice (Office of The Ombudsman) in Kenya,https://www.ombudsman.go.ke/,,,,
Youth Enterprise Development Fund in Kenya,http://www.youthfund.go.ke/about-us/tender-downloads/,,,,
State Department for Planning,https://www.planning.go.ke/tenders/,,,,
State Department for Correctional Services,http://www.correctional.go.ke/tenders/active-tenders,,,,
Kenya Prisons Service,https://www.prisons.go.ke/Tenders.php,,,,
National Cohesion and Integration Commission (NCIC),https://www.cohesion.or.ke/,,,,
National Authority for the Campaign Against Alcohol and Drug Abuse (NACADA),https://nacada.go.ke/tenders,,,,
National Crime Research Centre (NCRC),https://www.crimeresearch.go.ke/tenders/,,,,
National Police Service Commission (NPSC),https://www.npsc.go.ke/,,,,
ICDC,https://www.icdc.co.ke/index.php/tenders-new,,,,
